date,reits_index,tb10y,hs300,csi_dividend,nav,reits_index_norm,nav_norm
2021-10-08,1003.3772,2.905,4929.9409,5244.4434,,0.9936003710687576,
2021-10-11,1002.628,2.9575,4936.1918,5275.2232,,0.9928584712149393,
2021-10-12,1000.3396,2.96,4883.8369,5187.6337,,0.9905923692054919,
2021-10-13,1000.9801,2.9525,4940.1089,5151.1249,,0.9912266282236054,
2021-10-14,1000.5637,2.9525,4913.6123,5130.9031,,0.9908142855926257,
2021-10-15,1000.9896,2.99,4932.1084,5143.6428,,0.9912360356563487,
2021-10-18,1001.737,3.035,4874.7753,5220.437,,0.9919761530492263,
2021-10-19,1006.8418,3.0075,4922.7232,5257.3297,,0.9970312122774326,
2021-10-20,1014.3864,2.995,4910.1846,5205.6618,,1.004502298285332,
2021-10-21,1023.1431,2.9675,4928.0156,5243.4528,,1.0131736736856678,
2021-10-22,1032.916,2.9875,4959.7254,5149.8551,,1.0228513473127123,
2021-10-25,1040.5884,2.98,4979.5235,5155.3052,,1.0304489880474113,
2021-10-26,1035.5855,2.974,4963.0984,5132.1961,,1.0254948359135776,
2021-10-27,1043.8924,2.98,4898.1644,5054.6222,,1.0337207941299205,
2021-10-28,1057.8843,2.9625,4864.138,4940.0066,,1.047576358151065,
2021-10-29,1074.1552,2.9675,4908.7701,4964.6733,,1.0636887157745218,
2021-11-01,1069.3494,2.94,4890.6851,4990.2494,,1.05892974311371,
2021-11-02,1051.1998,2.9225,4839.8457,4888.5758,,1.0409569913960612,
2021-11-03,1045.701,2.93,4821.1119,4952.7069,,1.0355117712730277,
2021-11-04,1046.0716,2.9175,4868.7419,4954.035,,1.0358787601756239,
2021-11-05,1053.4192,2.885,4842.3458,4881.9479,,1.04315476573611,
2021-11-08,1048.1136,2.895,4848.1795,4912.0163,,1.0379008630873927,
2021-11-09,1043.8746,2.895,4846.7444,4937.5171,,1.0337031675717279,
2021-11-10,1042.1428,2.8925,4821.1925,4932.4344,,1.0319882420954296,
2021-11-11,1048.9288,2.91,4898.6529,5005.169,,1.0387081198423749,
2021-11-12,1054.0796,2.935,4888.3749,4970.9613,,1.0438087308501804,
2021-11-15,1053.5469,2.92,4882.3777,4979.0,,1.0432812214373013,
2021-11-16,1055.3848,2.916,4883.3206,4951.6303,,1.0451012130835011,
2021-11-17,1059.4209,2.9225,4885.7544,4992.9592,,1.0490979856408909,
2021-11-18,1058.6901,2.91,4837.6185,4989.2881,,1.0483743064989122,
2021-11-19,1057.4126,2.925,4890.0575,5059.4292,,1.0471092543589589,
2021-11-22,1049.8573,2.9125,4912.399,5067.4266,,1.039627572611022,
2021-11-23,1047.8949,2.915,4913.3457,5095.6041,,1.0376842940830813,
2021-11-24,1051.7015,2.8875,4916.6579,5120.1412,,1.0414538028705147,
2021-11-25,1051.8969,2.8855,4896.4416,5097.9714,,1.041647298908203,
2021-11-26,1053.3588,2.845,4860.1265,5061.096,,1.043094954268984,
2021-11-29,1053.2053,2.855,4851.423,5029.2862,,1.0429429499609741,
2021-11-30,1056.4023,2.855,4832.026,5044.1175,,1.0461087986431115,
2021-12-01,1060.9103,2.8775,4843.851,5103.4783,,1.0505728730438235,
2021-12-02,1071.4935,2.89,4856.163,5114.324,,1.061052951171067,
2021-12-03,1073.493,2.8975,4901.0175,5150.0489,,1.0630329681995103,
2021-12-06,1075.7302,2.862,4892.6209,5092.9239,,1.065248369097752,
2021-12-07,1081.4028,2.88,4922.1015,5119.5989,,1.0708656957271838,
2021-12-08,1086.5934,2.8875,4995.9298,5124.2078,,1.076005718926903,
2021-12-09,1095.6679,2.88,5078.6901,5130.746,,1.0849917977089039,
