code,name,sector
508010,中金重庆两江REIT,园区基础设施
508002,华安百联消费REIT,消费基础设施
508016,华夏华电清洁能源REIT,能源基础设施
180501,红土创新深圳安居REIT,保障房
508092,华夏金隅智造工场REIT,园区基础设施
508033,易方达深高速REIT,交通基础设施
508091,华夏凯德商业REIT,消费基础设施
180701,银华绍兴原水水利REIT,水利设施
508058,中金厦门安居REIT,保障房
508097,华泰南京建邺REIT,园区基础设施
508085,华泰苏州恒泰租赁住房REIT,保障房
508086,工银河北高速REIT,交通基础设施
508068,华夏北京保障房REIT,保障房
508069,华夏南京交通高速公路REIT,交通基础设施
508055,汇添富上海地产租赁住房REIT,保障房
180202,华夏越秀高速REIT,交通基础设施
508082,中金唯品会奥莱REIT,消费基础设施
180303,华泰宝湾物流REIT,仓储物流
508006,富国首创水务REIT,生态环保
180305,南方顺丰物流REIT,仓储物流
508031,国泰海通城投宽庭保租房REIT,保障房
508001,浙商沪杭甬REIT,交通基础设施
508011,嘉实物美消费REIT,消费基础设施
180605,易方达华威市场REIT,消费基础设施
508036,平安宁波交投REIT,交通基础设施
508029,中信建投沈阳国际软件园REIT,园区基础设施
180203,招商高速公路REIT,交通基础设施
508098,嘉实京东仓储基础设施REIT,仓储物流
508012,招商科创REIT,园区基础设施
508050,华夏中核清洁能源REIT,能源基础设施
508080,中金亦庄产业园REIT,园区基础设施
180105,易方达广开产园REIT,园区基础设施
508021,国泰海通临港创新产业园REIT,园区基础设施
508015,中信建投明阳智能新能源REIT,能源基础设施
508066,华泰江苏交控REIT,交通基础设施
508089,华夏特变电工新能源REIT,能源基础设施
508039,创金合信首农REIT,园区基础设施
180103,华夏和达高科REIT,园区基础设施
508022,博时津开产园REIT,园区基础设施
508009,中金安徽交控REIT,交通基础设施
180601,华夏华润商业REIT,消费基础设施
180201,平安广州广河REIT,交通基础设施
508026,嘉实中国电建清洁能源REIT,能源基础设施
508017,华夏金茂商业REIT,消费基础设施
180401,鹏华深圳能源REIT,能源基础设施
180402,工银蒙能清洁能源REIT,能源基础设施
508005,华夏首创奥莱REIT,消费基础设施
508028,中信建投国家电投新能源REIT,能源基础设施
508087,国泰海通济南能源供热REIT,市政设施
508090,中银中外运仓储物流REIT,仓储物流
180606,中金中国绿发商业REIT,消费基础设施
180607,华夏中海商业REIT,消费基础设施
508084,汇添富九州通医药REIT,仓储物流
508048,华安外高桥REIT,仓储物流
180306,华夏安博仓储REIT,仓储物流
508003,中金联东科创REIT,园区基础设施
508008,国金中国铁建REIT,交通基础设施
508019,中金湖北科投光谷REIT,园区基础设施
180502,招商基金蛇口租赁住房REIT,保障房
180801,中航首钢绿能REIT,生态环保
508007,中金山东高速REIT,交通基础设施
180602,中金印力消费REIT,消费基础设施
180301,红土创新盐田港REIT,仓储物流
508099,建信中关村REIT,园区基础设施
508060,南方万国数据中心REIT,新型基础设施
508077,华夏基金华润有巢REIT,保障房
180102,华夏合肥高新REIT,园区基础设施
508096,中航京能国际能源REIT,能源基础设施
180106,广发成都高投产业园REIT,园区基础设施
180101,博时蛇口产园REIT,园区基础设施
508000,华安张江产业园REIT,园区基础设施
508088,国泰海通东久新经济REIT,园区基础设施
508078,中航易商仓储物流REIT,仓储物流
180603,华夏大悦城商业REIT,消费基础设施
180302,华夏深国际REIT,仓储物流
180901,南方润泽科技数据中心REIT,新型基础设施
508018,华夏中国交建REIT,交通基础设施
508027,东吴苏园产业REIT,园区基础设施
508056,中金普洛斯REIT,仓储物流
