业务日期,成交时间,股东代码,产品代码,产品名称,单元编号,单元名称,组合编号,组合名称,资产类别,证券类别,投资类型,交易市场,证券代码,证券名称,交易席位,委托序号,委托方向,是否备兑,委托价格类型,指令序号,成交编号,成交价格(元/%),全价价格,中债到期估值价偏离率(%),中债行权估值价偏离率(%),成交数量(股/张/份/手),成交金额,到期收益率(%),行权收益率(%),中债公允价(元),中债公允价偏离率(%),中证公允价(元),中证公允价偏离率(%),中证到期估值价偏离率(%),中证行权估值价偏离率(%),执行人,交易币种,指令下达人,过户费,交割费,经手费,财汇局交易征费,交易费,印花税,佣金,证管费,结算费,结算风险金(元),其他费用,总费用(元),交易分类,交易对手,交易对手全称,全价成交金额,结算日期,应计利息(元),应计利息总额(元),指令备注,结算金额,是否含权,投资人行权日期,清算速度,指令下达日期,指令委托日期,交易解除状态,竞买成交方式,竞买日期,价格下限,价格上限,最低成交数量,竞买场次,手续费方式,费率(%),手续费(元),费用结算日期
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180101,博时蛇口产园REIT,="005100",混合,买入,	--,限价,2801352,混合,="1.9018",--,	--,	--,="47，219.00",="89，800.53",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="89，800.53",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180102,华夏合肥高新REIT,="005100",混合,买入,	--,限价,2801353,混合,="1.6184",--,	--,	--,="75，700.00",="122，512.50",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="122，512.50",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180103,华夏和达高科REIT,="005100",混合,买入,	--,限价,2801354,混合,="2.0600",--,	--,	--,="29，000.00",="59，740.00",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="59，740.00",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180105,易方达广开产园REIT,="005100",混合,买入,	--,限价,2801355,混合,="1.8907",--,	--,	--,="46，700.00",="88，295.10",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="88，295.10",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180106,广发成都高投产业园REIT,="005100",混合,买入,	--,限价,2801356,混合,="3.3664",--,	--,	--,="34，400.00",="115，802.70",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="115，802.70",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180301,红土创新盐田港REIT,="005100",混合,买入,	--,限价,2801357,混合,="2.3433",--,	--,	--,="37，200.00",="87，171.70",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="87，171.70",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180302,华夏深国际REIT,="005100",混合,买入,	--,限价,2801358,混合,="2.8463",--,	--,	--,="56，500.00",="160，814.80",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="160，814.80",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180303,华泰宝湾物流REIT,="005100",混合,买入,	--,限价,2801359,混合,="4.0025",--,	--,	--,="51，600.00",="206，526.80",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="206，526.80",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180305,南方顺丰物流REIT,="005100",混合,买入,	--,限价,2801360,混合,="4.0148",--,	--,	--,="45，108.00",="181，097.90",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="181，097.90",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,="0899478032",ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,深交所A,180501,红土创新深圳安居REIT,="005100",混合,买入,	--,限价,2801361,混合,="3.5281",--,	--,	--,="72，900.00",="257，195.40",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",深圳竞价,	--,	--,--,2026/01/06,--,--,,="257，195.40",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
