业务日期,产品代码,产品名称,产品分组,资产类别,单元编号,单元名称,组合编号,组合名称,投资类型,交易市场,证券代码,证券名称,证券类别,上市板块,本币持仓市值/产品净资产(%),本币持仓市值/单元净资产(%),本币持仓市值/组合总市值(%),合同代码,合同名称,合同类别,停牌标志,长期停牌,结算币种,本币币种,最新价(元),当前数量(股/张/份/手),当日买量(股/张/份/手),当日卖量(股/张/份/手),净买量(股/张/份/手),当日买金额(元),当日卖金额(元),当日净买入金额(元),成本单价(元),当前成本(元),浮动盈亏(元),浮动盈亏率(%),当日盈亏(元),当日盈亏率(%),总体盈亏(元),总体盈亏率(%),累计盈亏(元),累计盈亏率(%),本币持仓市值(元),多空标志,持仓席位,股东代码,自定义分类,到期日,柜台债开办机构号,托管机构(二级),销售机构,所属证券池,当前成本含费(元),当前成本不含费(元),成本单价含费(元),成本单价不含费(元)
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180101,博时蛇口产园REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，259，507.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.94",="2，443，237.88",="0.00",="0.00",="0.00",="0.00",="21，244.76",="0.87",="21，244.76",="0.87",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180102,华夏合肥高新REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，677，203.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.69",="2，840，759.22",="0.00",="0.00",="0.00",="0.00",="-46，758.64",="-1.65",="-46，758.64",="-1.65",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180103,华夏和达高科REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="342，162.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.34",="800，659.08",="0.00",="0.00",="0.00",="0.00",="-82，905.02",="-10.35",="-82，905.02",="-10.35",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180105,易方达广开产园REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，023，200.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.03",="2，081，729.53",="0.00",="0.00",="0.00",="0.00",="-53，704.67",="-2.58",="-53，704.67",="-2.58",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180106,广发成都高投产业园REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="704，550.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.45",="2，433，573.89",="0.00",="0.00",="0.00",="0.00",="-16，495.29",="-0.68",="-16，495.29",="-0.68",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180201,平安广州广河REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="316，529.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="8.91",="2，821，414.67",="0.00",="0.00",="0.00",="0.00",="-30，343.71",="-1.08",="-30，343.71",="-1.08",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180202,华夏越秀高速REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="295，857.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="5.97",="1，767，456.97",="0.00",="0.00",="0.00",="0.00",="-13，028.48",="-0.74",="-13，028.48",="-0.74",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180203,招商高速公路REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，000，300.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="6.80",="6，799，511.54",="0.00",="0.00",="0.00",="0.00",="-65，153.66",="-0.96",="-65，153.66",="-0.96",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180301,红土创新盐田港REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，103，600.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.29",="2，522，252.74",="0.00",="0.00",="0.00",="0.00",="40，121.83",="1.59",="40，121.83",="1.59",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,深交所A,180302,华夏深国际REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，166，100.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.08",="3，586，723.89",="0.00",="0.00",="0.00",="0.00",="-156，280.80",="-4.36",="-156，280.80",="-4.36",="0.00",多仓,="005100",="0899478032",--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
